股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000408,CN,藏格矿业,-,通用,ROE、现金流、资产负债率,19.49,8.02,19.7%,13.4%,-,8.3%,-,-,未分红/不适用,-0.3%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000409,CN,云鼎科技,-,科技,营收增长、自由现金流、研发投入效率,84.22,4.05,-6.4%,21.9%,-,35.7%,-,-,未分红/不适用,31.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000410,CN,沈阳机床,-,通用,ROE、现金流、资产负债率,-114.89,3.72,-43.6%,103.9%,-,51.5%,-,-,未分红/不适用,21.8%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000411,CN,英特集团,-,通用,ROE、现金流、资产负债率,20.75,1.23,11.2%,1.4%,-,65.5%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,通过,100,可跟踪,81,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
000415,CN,渤海租赁,-,通用,ROE、现金流、资产负债率,7.04,0.86,-0.2%,9.8%,-,81.3%,-,-,未分红/不适用,18.6%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,PB低但近5年出现亏损；10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000417,CN,合百集团,-,通用,ROE、现金流、资产负债率,28.90,1.56,4.9%,1.5%,-,52.8%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,排除,60,排除,20,规则排雷已判定存在硬伤,长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000419,CN,通程控股,-,通用,ROE、现金流、资产负债率,26.64,0.87,5.2%,1.0%,-,31.7%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,警惕,85,谨慎观察,55,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000420,CN,吉林化纤,-,通用,ROE、现金流、资产负债率,108.28,2.66,18.6%,31.3%,-,64.0%,-,-,未分红/不适用,11.0%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000421,CN,南京公用,-,通用,ROE、现金流、资产负债率,12.42,1.28,3.8%,3.5%,-,62.0%,-,-,未分红/不适用,18.1%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000422,CN,湖北宜化,-,通用,ROE、现金流、资产负债率,21.83,2.54,12.6%,71.3%,-,70.5%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,警惕,55,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000423,CN,东阿阿胶,-,通用,ROE、现金流、资产负债率,17.92,3.30,16.1%,13.1%,-,22.6%,-,-,未分红/不适用,14.9%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000425,CN,徐工机械,-,通用,ROE、现金流、资产负债率,13.14,1.73,9.4%,4.2%,-,64.0%,-,-,未分红/不适用,-3.6%,10,10,100,High,未知,通过,100,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
000426,CN,兴业银锡,-,通用,ROE、现金流、资产负债率,13.35,6.60,7.4%,9.0%,-,40.8%,-,-,未分红/不适用,29.0%,10,10,100,High,未知,警惕,70,可跟踪,81,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000428,CN,华天酒店,-,通用,ROE、现金流、资产负债率,-15.00,2.94,-8.7%,9.3%,-,82.3%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000429,CN,粤高速Ａ,-,通用,ROE、现金流、资产负债率,15.05,2.36,15.7%,3.3%,-,47.0%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,通过,100,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
000498,CN,山东路桥,-,通用,ROE、现金流、资产负债率,12.29,0.49,14.9%,4.0%,-,76.5%,-,-,未分红/不适用,4.5%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,PB低但近5年经营现金流多次为负；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000501,CN,武商集团,-,通用,ROE、现金流、资产负债率,12.11,0.55,8.6%,6.9%,-,64.1%,-,-,未分红/不适用,-3.9%,10,10,100,High,未知,通过,100,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
000503,CN,国新健康,-,通用,ROE、现金流、资产负债率,-37.91,7.69,-18.0%,22.5%,-,44.0%,-,-,未分红/不适用,8.5%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000505,CN,京粮控股,-,通用,ROE、现金流、资产负债率,142.48,1.62,12.2%,25.3%,-,47.5%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,55,排除,24,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000506,CN,招金黄金,-,通用,ROE、现金流、资产负债率,16.97,14.30,-0.9%,38.5%,-,49.6%,-,-,未分红/不适用,-12.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000507,CN,珠海港,-,通用,ROE、现金流、资产负债率,17.84,0.81,5.0%,1.0%,-,54.5%,-,-,未分红/不适用,-9.5%,10,10,100,High,未知,警惕,70,谨慎观察,55,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000509,CN,华塑控股,-,通用,ROE、现金流、资产负债率,-408.68,33.90,-45.5%,106.8%,-,78.1%,-,-,未分红/不适用,26.5%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000510,CN,新金路,-,通用,ROE、现金流、资产负债率,-43.15,8.50,12.2%,31.4%,-,52.2%,-,-,未分红/不适用,-13.6%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000513,CN,丽珠集团,-,通用,ROE、现金流、资产负债率,11.98,1.91,17.5%,11.9%,-,35.2%,-,-,未分红/不适用,-0.1%,10,10,100,High,未知,通过,100,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
000514,CN,渝 开 发,-,通用,ROE、现金流、资产负债率,30.77,1.08,13.4%,25.6%,-,45.1%,-,-,未分红/不适用,-11.5%,10,10,100,High,未知,警惕,55,排除,32,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000516,CN,国际医学,-,通用,ROE、现金流、资产负债率,-51.87,3.07,7.7%,34.9%,-,69.0%,-,-,未分红/不适用,8.7%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000517,CN,荣安地产,-,地产,净负债率、现金短债比、资产负债率,-54.27,1.33,6.5%,17.8%,-,56.2%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,地产需补充净负债率/现金短债比专项数据；10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
000519,CN,中兵红箭,-,通用,ROE、现金流、资产负债率,111.46,2.34,7.5%,12.2%,-,45.5%,-,-,未分红/不适用,5.4%,10,10,100,High,未知,警惕,55,谨慎观察,54,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
000520,CN,凤凰航运,-,周期,利润波动、ROE波动、资本开支周期,308.04,9.66,4.9%,12.0%,-,39.5%,-,-,未分红/不适用,-5.2%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,周期行业利润弹性过大；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000521,CN,长虹美菱,-,通用,ROE、现金流、资产负债率,20.16,0.93,18.4%,28.0%,-,70.9%,-,-,未分红/不适用,14.0%,10,10,100,High,未知,警惕,55,可跟踪,81,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000523,CN,红棉股份,-,通用,ROE、现金流、资产负债率,32.76,3.17,4.5%,9.6%,-,38.9%,-,-,未分红/不适用,-4.9%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000524,CN,岭南控股,-,通用,ROE、现金流、资产负债率,47.82,2.72,2.6%,7.7%,-,40.3%,-,-,未分红/不适用,31.1%,10,10,100,High,未知,排除,5,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000525,CN,红太阳,-,通用,ROE、现金流、资产负债率,522.12,2.69,-13.0%,61.2%,-,59.8%,-,-,未分红/不适用,-9.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000526,CN,学大教育,-,通用,ROE、现金流、资产负债率,10.96,3.82,-1.1%,53.9%,-,76.8%,-,-,未分红/不适用,6.3%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
000528,CN,柳    工,-,通用,ROE、现金流、资产负债率,7.65,0.97,12.3%,15.6%,-,60.3%,-,-,未分红/不适用,3.7%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
000529,CN,广弘控股,-,通用,ROE、现金流、资产负债率,-352.77,0.96,12.8%,8.7%,-,51.7%,-,-,未分红/不适用,-13.2%,10,10,100,High,未知,警惕,70,可跟踪,67,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000530,CN,冰山冷热,-,通用,ROE、现金流、资产负债率,59.20,1.58,14.2%,25.8%,-,57.7%,-,-,未分红/不适用,20.5%,10,10,100,High,未知,警惕,70,排除,40,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000531,CN,穗恒运Ａ,-,通用,ROE、现金流、资产负债率,9.74,1.08,6.3%,5.9%,-,58.0%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,警惕,85,排除,24,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
000532,CN,华金资本,-,通用,ROE、现金流、资产负债率,-194.58,2.59,10.2%,4.5%,-,28.1%,-,-,未分红/不适用,-5.9%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
000533,CN,顺钠股份,-,通用,ROE、现金流、资产负债率,135.29,9.29,2.5%,34.6%,-,60.9%,-,-,未分红/不适用,11.3%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
000534,CN,万泽股份,-,通用,ROE、现金流、资产负债率,61.35,11.07,9.3%,3.3%,-,61.5%,-,-,未分红/不适用,18.4%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
